frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
387,126,733.8166294608783 398.03468931439636 1192.8264145871042 789.6946973949398,886.9740600585938 650.23779296875 1011.0189208984375 709.0206298828125,0,0,0
388,126,742.4246490726812 399.8628441965292 1195.9070772697773 787.1742622244777,895.8722534179688 648.953125 1016.3410034179688 707.071044921875,0.6651443839073181,L244ZO,0.3739063762791166
389,126,750.4881531696822 402.89388314805336 1199.013973338216 786.6521665166674,899.359130859375 650.920654296875 1021.3341064453125 707.0325927734375,0.5731927156448364,LZ447O,0.5
584,204,9.106675624701268 302.2834681192851 703.3676086775004 1057.4114574831624,23.7930908203125 601.9003295898438 296.74517822265625 714.7579345703125,0.6091604828834534,9L43NA,0.5
585,204,9.014563903313103 307.1470493089327 719.8746332286576 1051.334987726225,55.205108642578125 599.6821899414062 314.44384765625 709.4959106445312,0.6824179291725159,9L43NA,0.28886514010496844
586,204,8.20654662377433 311.61635770446577 734.7540124393262 1043.7494180269475,77.45292663574219 591.926513671875 345.92999267578125 711.9169921875,0.6989865899085999,9LL3NA,0.5
587,204,7.630950685733865 315.3442403087791 748.2541171970478 1036.003461583776,102.86531066894531 591.0151977539062 366.8262634277344 708.84130859375,0.7307990193367004,9LL3NA,0.4740411645941226
588,204,7.832643831465816 320.5460301209272 763.0912388106472 1031.112852437303,125.80293273925781 588.97314453125 386.303466796875 701.025390625,0.6534987688064575,9LL3NA,0.5
589,204,7.242366459965751 323.2052205642651 776.0147057362672 1023.4826609894224,154.97291564941406 586.8231811523438 401.6146545410156 698.6934814453125,0.6735955476760864,94L3NA,0.43206557166628395
590,204,6.704559427095262 325.64745839852924 788.7402954761626 1014.3843184425363,176.16595458984375 590.1176147460938 416.7989501953125 686.9133911132812,0.6940370798110962,94L3NA,0.3590397473795102
591,204,6.594167421825205 329.46461880697353 801.7168323494252 1006.4283876504071,196.4296875 584.10302734375 443.78692626953125 690.196533203125,0.679670512676239,9L43NA,0.4198539030396294
592,204,6.749710788712491 334.30519091116923 814.5032115090319 1001.2054109552424,225.87863159179688 586.8294067382812 455.568359375 682.3978271484375,0.7223273515701294,9443NA,1.0
593,204,19.65756378238558 339.93872954809575 832.7508546703664 997.8646716192779,248.8728790283203 586.6807250976562 481.980712890625 683.8104858398438,0.712378740310669,94L3NA,0.46136834367824864
594,204,37.76361796669045 342.4396306247613 850.3438585866434 988.7042268450407,272.7950439453125 586.5731201171875 500.48681640625 679.5655517578125,0.6681838035583496,9LL3NA,0.45178261690250215
595,204,59.91520945550735 347.2649209963585 868.659826251417 983.6653176770533,300.0093688964844 590.1773071289062 513.8259887695312 672.884765625,0.6366163492202759,9LL3NA,0.2312684375296111
596,204,79.05914759720395 350.2599495447047 881.3421421627778 974.3488450742808,317.7856140136719 588.990966796875 536.3021850585938 674.616455078125,0.6793149709701538,9LL3NA,0.5
597,204,102.12932715709621 353.8805352106666 897.4966090535042 965.1317050036786,332.52911376953125 586.6824951171875 554.7266845703125 678.8926391601562,0.6390979290008545,9LL3NA,0.45575980825902385
598,204,126.68260013328677 359.3610232924079 918.0411530297124 960.0473160765891,363.405029296875 582.771728515625 569.2904663085938 673.3258056640625,0.6563374400138855,9LL3NA,0.5
599,204,147.6472299655232 361.2624902063381 926.5700178703164 951.3300202699797,377.1178894042969 587.2294311523438 581.163330078125 668.1121826171875,0.6373586058616638,9LL3NA,0.43283645957108136
600,204,160.62828663354003 362.96690679788315 930.1218648354939 942.7804966139338,406.3260498046875 588.0374145507812 597.62841796875 667.9248657226562,0.6725512742996216,9L48NA,0.27657049263585365
